Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
MOE Sync 2020-03-30,cla: yes internal-sync,,,"nick-someone: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Deprecate 1-arg overload of ServiceManager.addListener.
It default to directExecutor(). directExecutor() is often useful, but it should be an explicit choice, as some usages are dangerous:
https://guava.dev/releases/snapshot-jre/api/docs/com/google/common/util/concurrent/ListenableFuture.html#addListener-java.lang.Runnable-java.util.concurrent.Executor-
#3418
RELNOTES=util.concurrent: Deprecated the 1-arg overload of ServiceManager.addListener.
200056a",2020-03-30T12:49:11Z,None,1,0,3
MOE Sync 2020-03-25,cla: yes internal-sync,,,"nick-someone: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Make sure native.js files are included in the Guava GWT release.
This is needed for J2CL compatibility.
b1511bd

 Add missing `@since` for 1-arg `ServiceManager.addListener`.
https://guava.dev/releases/15.0/api/diffs/changes/com.google.common.util.concurrent.ServiceManager.html#com.google.common.util.concurrent.ServiceManager.addListener_added%28com.google.common.util.concurrent.ServiceManager.Listener%29
29d356e",2020-03-25T13:44:40Z,None,2,0,4
first commit,cla: no,,,"flicker01: No description provided..googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..nick-someone: I think this may have been unintentional.",2020-03-22T06:57:21Z,2020-03-23T13:49:01Z,1,0,3
MOE Sync 2020-03-20,cla: no internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Add some unit tests for base64Url() in BaseEncoding
Fixes #3816
e1c08a8.googlebot: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info.",2020-03-20T21:31:48Z,None,1,3,3
MOE Sync 2020-03-19,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Fixed double slicing ByteSource (#3501).
Fixes #3829
6fb7746.googlebot: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..Buddy119: @googlebot I consent..googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info.",2020-03-19T16:30:09Z,None,1,4,3
Fixed double slicing ByteSource #3501,cla: yes,,,Buddy119: As previous PR has commit should not occur. So I submit a new PR and add a test.,2020-03-19T13:23:08Z,2020-03-19T16:56:44Z,2,2,2
Fixed NoSuchElementException when using Lists.partition and remove #3790,cla: yes,,,"Buddy119: NoSuchElementException occurs because of Iterator in AbstractList call hasNext() as below
public boolean hasNext() {
            return cursor != size();
        }

But after execute remove operation on List, the result of calling size() will change. So I make size as a final int listSize..Buddy119: I test my commit locally. But do not add test in commit. If needed, i will add test in the future..cpovirk: From the discussion on #3790, it sounds like, if anything, we would want to make hasNext() throw a ConcurrentModificationException..Buddy119: @cpovirk
Hi, I have reviewed the discussion. But I think the expected behavior should not throw an exception.
According to the discussion, they are confused on why iter.hasNext() is true. Actually, it is because class Partition use Iterator from superclass AbstractList. And the hasNext() function in class AbstractList is not perfect. They have been optimized in subclass ArrayList.Plese review below
This is hasNext in AbstractList class. It call size() function
public boolean hasNext() {
    return cursor != size();
} 

This is hasNext in ArrayList class. It use value size. And the documentation said it is An optimized version of AbstractList.Itr. I see this in JDK1.8
public boolean hasNext() {
    return cursor != size;
}

when use fuction size(), every time propram call hasNext(). The hasNext() will call size(), then the value size will be recalculated. Back to the code from #3570, when the propram execute removeall(), the recalculate size will be 0, but the cursor is 1. so the hasNext() return true.
example code in #3570
for(List<Integer> l : ll){
   l.removeAll(elementExclude);
}

So I introduce listsize to save the value to make sure it only be calculated once.
I also tested below code. I use ArrayList as container and then do the same removeAll operation. No exception is throw. So, I think the behavior of partition should be same
        List<Integer> list = new ArrayList();
        list.add(1);
        List<Integer> elementExclude = new ArrayList();
        elementExclude.add(1);
        
        List<List<Integer>> ll = new ArrayList();
        
        ll.add(list);
        for(List<Integer> l : ll){

            l.removeAll(elementExclude);
        }.Buddy119: Typo 3790 not 3570.cpovirk: Let's consolidate the discussion on the other thread. We can reopen this one (or a new PR) if there is agreement on what to do..Buddy119: @cpovirk  ok, i will discuss my thoughts in #3790 with them. Anyway thanks",2020-03-18T12:58:00Z,2020-03-18T17:13:34Z,1,0,3
MOE Sync 2020-03-17,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Add `Duration`-based default methods to `ListeningScheduledExecutorService`
They just delegate to the existing methods from the interface, using the existing saturated conversion to nanoseconds. This matches existing Duration-based overloads of (long, TimeUnit) methods in the same package.
RELNOTES=Added Duration-based default methods to ListeningScheduledExecutorService.
c7984e7",2020-03-17T20:18:16Z,None,1,0,3
Fixed double slicing ByteSource #3501,cla: yes,,,"Buddy119: Fixes #3501
add maxLength < 0 to check whether the offset is greater than the source size. If so, return an empty source according to the API description..googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..Buddy119: I signed it!.Buddy119: I signed it!.Buddy119: @googlebot  signed it!.googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for all the commit author(s) or Co-authors.  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and then comment @googlebot I fixed it.. If the bot doesn't comment, it means it doesn't think anything has changed.
ℹ️ Googlers: Go here for more info..Buddy119: @googlebot I signed it!.Buddy119: @googlebot I fixed it..Buddy119: @googlebot I fixed it..Buddy119: @googlebot I fixed it..Buddy119: @googlebot I fixed it..Buddy119: Can someone help me to see why the CLA check is still failed. I checked the CLA signment and do not find any mistake..Buddy119: @googlebot  I fixed it..cpovirk: Your Git commit uses an email address @outlook.com. It looks like you signed the CLA with your GMail address.
You can amend your commit (https://stackoverflow.com/a/3042512/28465) and force push it..googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info..Buddy119: @cpovirk Done. Thanks a lot for your reply.cpovirk: Thank you. Two comments:

Add the example code you gave as a test.
It looks like your Lists.partition change ended up as part of this PR, too. I'll look at it in #3828, so see if you can back it out of this PR..Buddy119: @cpovirk
Hi, As I am new for  git and github, so I do not know how to amend this PR. So I submit a new PR and add test in the new PR. Please close this PR. The new PR is #3829. I am sorry for the inconvenience.cpovirk: Sounds good. Thanks!",2020-03-17T18:26:45Z,2020-03-19T14:55:43Z,2,0,3
MOE Sync 2020-03-16,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Store `values` in a local first instead of repeatedly reading it from a field.
At worst, this is a no-op. At best, it may perform better.
b6d4f65",2020-03-16T17:59:32Z,None,1,0,2
MOE Sync 2020-03-16,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Implement some more toString() methods for debugging.
I added these locally while debugging, but they seem potentially generally useful.
d52651a",2020-03-16T16:46:33Z,None,1,6,2
MOE Sync 2020-03-16,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Replace Thread.currentThread().interrupted() with Thread.interrupted() or Thread.currentThread().interrupt(), whichever seems appropriate.
Thread.interrupted: static method on Thread which returns whether the thread has been interrupted (and resets the interrupt bit)
Thread.currentThread().interrupt(): interrupts the current thread
744b356",2020-03-16T16:04:28Z,None,1,0,3
Change maximum capacity for Maps as per JDK 8,cla: yes,,,"kkraja555: If initialCapacity is greater than Ints.MAX_POWER_OF_TWO then JDK 8 uses Ints.MAX_POWER_OF_TWO as MAXIMUM_CAPACITY.
So, Even if we return Integer.MAX_VALUE as MAXIMUM_CAPACITY, JDK gonna use Ints.MAX_POWER_OF_TWO as MAXIMUM_CAPACITY
Snippet from JDK 8 Source:
public HashMap(int initialCapacity, float loadFactor) {
if (initialCapacity < 0)
throw new IllegalArgumentException(""Illegal initial capacity: "" +
initialCapacity);
if (initialCapacity > MAXIMUM_CAPACITY)
initialCapacity = MAXIMUM_CAPACITY; // which is Ints.MAX_POWER_OF_TWO.cpovirk: As I understand it, this is not a behavior change. Additionally, if a HashMap implementation someday supports a larger internal capacity, we would want to take advantage of it..kkraja555: Makes sense. Thanks",2020-03-13T16:17:02Z,2020-03-16T14:24:24Z,1,0,3
JDK 8  uses MAXIMUM_CAPACITY = Ints.MAX_POWER_OF_TWO,cla: yes,,,"kkraja555: If initialCapacity is greater than Ints.MAX_POWER_OF_TWO  then JDK 8 uses  Ints.MAX_POWER_OF_TWO as MAXIMUM_CAPACITY.
So, Even if return Integer.MAX_VALUE as MAXIMUM_CAPACITY, JDK  gonna use  Ints.MAX_POWER_OF_TWO as MAXIMUM_CAPACITY
Snippet from JDK 8 Source:
public HashMap(int initialCapacity, float loadFactor) {
if (initialCapacity < 0)
throw new IllegalArgumentException(""Illegal initial capacity: "" +
initialCapacity);
if (initialCapacity > MAXIMUM_CAPACITY)
initialCapacity = MAXIMUM_CAPACITY;.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..kkraja555: @googlebot I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info.",2020-03-11T05:58:22Z,2020-03-11T06:15:42Z,1,0,2
MOE Sync 2020-03-10,cla: yes internal-sync,,,"netdpb: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Simplify AbstractGraphTest by replacing allowsSelfLoops() and incidentEdgeOrder() by graph accessors.
a8d9fcb

 Simplify the AbstractNetworkTest tree (undirected branch): Delete StandardSimpleUndirectedNetworkTest
This is similar to an earlier refector of the AbstractGraphTest tree.
Note: This is a pure refactor: No tests were added or removed.
34ed9b2

 Move all tests from StandardMutableUndirectedNetworkTest to AbstractStandardUndirectedNetworkTest
This is similar to an earlier refector of the AbstractGraphTest tree.
Note: This is a pure refactor: No tests were added or removed.
6dfb447

 Make StandardMutableUndirectedNetworkTest parameterized so that it tests both with and without self loops.
This is similar to an earlier refector of the AbstractGraphTest tree.
ee65950

 Simplify the AbstractNetworkTest tree (directed branch): Delete StandardSimpleDirectedNetworkTest
This is similar to an earlier refector of the AbstractGraphTest tree.
45bb762

 Move all tests from StandardMutableDirectedNetworkTest to AbstractStandardDirectedNetworkTest
This is similar to an earlier refector of the AbstractGraphTest tree.
Note: This is a pure refactor: No tests were added or removed.
bd328cd

 Make StandardMutableDirectedNetworkTest parameterized so that it tests both with and without self loops.
This is similar to an earlier refector of the AbstractGraphTest tree.
c5d8c5b",2020-03-10T17:18:37Z,None,7,0,3
MOE Sync 2020-03-09,cla: yes internal-sync,,,"netdpb: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Document that our racy access is safe.
2c93018",2020-03-09T16:08:03Z,None,1,2,3
Add UTs for base64Url() decode in BaseEncoding,cla: yes,nick-someone,,"dyrone: I use base64Url in code if Gerrit to make the base64 URL safe.
But found that it doesn't cover some basic cases.",2020-03-06T10:28:56Z,2020-03-20T21:49:54Z,1,0,3
MOE Sync 2020-03-04,cla: yes internal-sync,,,"nick-someone: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Store each result in a ""Present"" instance instead of an Optional.
We can't store a plain V because we need to distinguish between Optional.absent() and null (at least in the Google-internal successfulAsMap -- and eventually in whenAllComplete(...).collectToList() (#1519), which is likely to omit failures instead of mapping them to null as successfulAsList does).
We may have problems using Optional when we adopt new nullability annotations, since Optional might not be a valid instantiation when V is instantiated with a nullable type.
e371bf1

 Migrate from @MonotonicNonNull to @nullable.
The features of @MonotonicNonNull don't buy us anything in our use case, since we check the fields for null on every access, anyway.
And @MonotonicNonNull is likely not to be available in the set of nullness annotations we adopt.
https://checkerframework.org/api/org/checkerframework/checker/nullness/qual/MonotonicNonNull.html
d4d5d62

 Rollback a8107fa pending internal break
8a32d0b

 Roll-forward of a8107fa
Make nullWriter().append(...) (both overloads) accept a null CharSequence.
The docs of Writer are misleading:
""""""
An invocation of this method of the form out.append(csq) behaves in exactly the same way as the invocation
out.write(csq.toString())
""""""
https://docs.oracle.com/javase/7/docs/api/java/io/Writer.html#app...
29992f2",2020-03-04T15:12:17Z,None,4,81,3
MOE Sync 2020-03-02,cla: yes internal-sync,,,"cgdecker: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Make nullWriter().append(...) (both overloads) accept a null CharSequence.
The docs of Writer are misleading:
""""""
An invocation of this method of the form out.append(csq) behaves in exactly the same way as the invocation
out.write(csq.toString())
""""""
https://docs.oracle.com/javase/7/docs/api/java/io/Writer.html#append%28java.lang.CharSequence%29
But that's not true, as the docs go on to say:
""""""
csq - The character sequence to append. If csq is null, then the four characters ""null"" are appended to this writer.
""""""
Accepting null in the 2-arg method is arguably even weirder, but at least the docs call it out more prominently:
https://docs.oracle.com/javase/7/docs/api/java/io/Writer.html#append%28java.lang.CharSequence,%20int,%20int%29
Credit to the Checker Framework for identifying this bug.
a27746a",2020-03-02T19:00:08Z,None,1,0,3
MOE Sync 2020-02-27,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Remove remaining documentation references to configurable implementations
9c3f315

 Delete unused method
71f625f",2020-02-27T18:19:49Z,None,2,14,3
MOE Sync 2020-02-27,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Make Compact(Linked)HashSet fall back to a java.util.LinkedHashSet if hash flooding is detected, just as the immutable collections do.
a97eccf

 Make lenientToString easier for nullness-analysis tools to understand.
And I think prevent it from turning a StackOverflowError into a NullPointerException in unlikely cases?
As far as tools know, String.valueOf is capable of throwing an Error or RuntimeException, even when it's called with a parameter whose values is null. Thus, tools conclude that the flow of the program might reach o.getClass().getName() when o is null. That would in turn produce NullPointerException.
Tools might not even be wrong, since String.valueOf could produce a StackOverflowError if we were just about to run out of space. Of course, in that case we're going to have problems in the catch() block no matter what... :)
To avoid this, we check for null in lenientToString itself.
e9d2fcc

 Make GWT compilation of tests no longer flaky.
bb6e55f

 Update Public Suffix data.
1323cda

 Rename 'ConfigurableX' to 'StandardX' for Network, which better captures what these implementations represent.
Note that this work was already done for [Value]Graph.
ef37cf4.jbduncan: @lowasser Oops, was this unused wildcard import intentional?",2020-02-27T17:26:26Z,None,5,0,6
MOE Sync 2020-02-25,cla: yes internal-sync,,,"cgdecker: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Refactor AbstractNetworkTest in the same way as AbstractGraphTest was refactored earlier: Allow the graph under test to be immutable.
Note: This is a pure refactor, no coverage is changing.
1ae455b",2020-02-25T19:41:47Z,None,1,18,3
Remove @Beta from Service and ServiceManager,P2 cla: yes package=concurrent type=debeta,,cpovirk,"swankjesse: This leaves AbstractListeningExecutorService as @beta.
Closes: #3418",2020-02-25T18:19:54Z,2020-04-10T15:45:52Z,1,6,4
MOE Sync 2020-02-23,cla: yes internal-sync,,,"kluever: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Simplify redundant `Collection.addAll()` calls.
Fixes #3800
ae564a1.googlebot: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..googlebot: A Googler has manually verified that the CLAs look good.
(Googler, please make sure the reason for overriding the CLA status is clearly documented in these comments.)
ℹ️ Googlers: Go here for more info.",2020-02-23T22:32:25Z,None,1,0,3
MOE Sync 2020-02-21,cla: yes internal-sync,,,"kluever: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Invalidate delegate iterators during clear() and make FPP tests more strict
2cb0a59",2020-02-21T14:23:37Z,None,1,0,3
MOE Sync 2020-02-19,cla: yes internal-sync,,,"kluever: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Make TopKSelector ctor throw IllegalArgumentException when buffer size is too big to be held in memory.
Previously this would lead to java.lang.NegativeArraySizeException.
e0418c067aea976e3e59e23e035d15177112597a

 Annotate FluentIterable.from(FluentIterable) with @DoNotCall
RELNOTES=Annotate FluentIterable.from(FluentIterable) with @DoNotCall
e3264687f823752dea2d724d2734b4a18e5c92a3

 Fixing a typo in some Guava javadocs.
RELNOTES=Fixing a typo in javadoc.
5efab94ad9b77695012878c6b7c5a8815c7d2d36",2020-02-19T15:56:32Z,None,3,0,4
MOE Sync 2020-02-17,cla: yes internal-sync,,,"kluever: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Rename 'ConfigurableX' to 'StandardX' for [Value]Graph, which better captures what these implementations represent.
Note that this work was already started in the past with the abstract StandardGraph tests.
1be4110",2020-02-17T21:31:26Z,None,1,24,3
Simplify redundant `Collection.addALl()` call,P4 cla: yes package=testing status=triaged type=performance,,cpovirk,"zhangt2333: Simplify redundant Collection.addALl() call and Optimize performance..googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..zhangt2333: @googlebot  I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info..cpovirk: A couple quick thoughts, since I sadly doubt that I'll be able to dedicate a lot of time to this:


I somewhat like to create the collection on one line and add to it on another if I am then going to also remove from it (or add more to it), like here. The multi-line process is a hint that there's going to be more to the collection than just its initial contents. That is, we're not just making a defensive copy. However, this is a minor point, and others might not see it that way. Plus, we're usually modifying the collection immediately after creating, so there's not much danger of confusion.


For cases in which we add objects and then add more objects, I'm not sure that we necessarily improve performance by presizing to the size of the first set of objects, like here. It might actually be better to accept the default size.


The unfortunate thing is that this code does need some performance tuning and general cleaning. I just fear that it would be a big investment..zhangt2333: @cpiotr
Thanks for your code review. This PR was submitted for the following reasons :

Using the constructor with parameter, it can save one time array copy.
Improving readability and polishing the code.

But I agree with your thoughts :

For the contextual semantic unity in a block of code.
The performance improvement may be small.
More time can be allocated for implementing features and fixing bugs

I respect your decision, so what should I do?.cpovirk: Thanks. I'm going to skip DerivedCollectionGenerators.java, since I'm not sure if that will help or hurt performance. (I notice that that code could probably be simplified even further, but I left it alone.) I'm looking to merge the rest.",2020-02-15T06:23:15Z,2020-02-23T22:51:09Z,2,0,4
MOE Sync 2020-02-12,cla: yes internal-sync,,,"kevinb9n: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Apply changes from https://github.com//pull/3778 (which edited guava.dev) to README.md.
5286210",2020-02-12T20:53:28Z,None,1,0,3
MOE Sync 2020-02-10,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Add missing @nullable.
afa2101",2020-02-11T03:58:47Z,None,1,0,3
MOE Sync 2020-02-06,cla: no internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Make AbstractFuture compatible with ForkJoinPool by catching exceptions from property retrieval.
Fixes #3788, #3784
RELNOTES=Made it safe to load the AbstractFuture class from a ForkJoinPool thread under a security manager.
e589b5c.googlebot: All (the pull request submitter and all commit authors) CLAs are signed, but one or more commits were authored or co-authored by someone other than the pull request submitter.
We need to confirm that all authors are ok with their commits being contributed to this project.  Please have them confirm that by leaving a comment that contains only @googlebot I consent. in this pull request.
Note to project maintainer: There may be cases where the author cannot leave a comment, or the comment is not properly detected as consent.  In those cases, you can manually confirm consent of the commit author(s), and set the cla label to yes (if enabled on your project).
ℹ️ Googlers: Go here for more info..happyfunmachine: Shut down Computer - silence",2020-02-07T02:22:37Z,None,1,3,4
DO NOT MERGE: Make AbstractFuture compatible with ForkJoinPool (taken over from #3788),P2 cla: yes package=concurrent type=defect,,cpovirk,cpovirk: No description provided..cpovirk: Will make this change internally.,2020-02-06T19:22:46Z,2020-02-06T20:10:22Z,1,4,2
Love le changement,cla: no,,,"Govjo: No description provided..googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..eamonnmcmanus: Faut pas pousser Mémé dans les orties.",2020-02-06T13:43:16Z,2020-02-06T22:27:55Z,1,0,3
MOE Sync 2020-02-04,cla: yes internal-sync,,,"cpovirk: This code has been reviewed and submitted internally. Feel free to discuss on
the PR, and we can submit follow-up changes as necessary.
Commits:
 Annotate upperCase and lowerCase with @LazyInit.
This eliminates a TSAN warning.
f325f04",2020-02-04T16:09:41Z,None,1,0,2
