Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Patch Info),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
camel-website - Sidebar menu tidy up names,CAMEL-14567,13285314,,Test,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2020/2/14 12:28,2020/3/31 19:17,2021/3/6 6:31,,,,,,,,,,,,,,,,0,help-wanted,website,,,,"Apache Camel extensions for Quarkus
Apache Camel K
Apache Camel Kafka Connector
Camel Spring Boot Starters
Component reference
User manual

Make this into

Camel Components
Camel Kafka Connectors
Camel Quarkus Extensions
Camel Spring Boot Starters
User manual
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/Mar/20 09:57;zregvart;Screenshot_2020-03-23 Apache Camel user manual - Apache Camel.png;https://issues.apache.org/jira/secure/attachment/12997400/Screenshot_2020-03-23+Apache+Camel+user+manual+-+Apache+Camel.png,,,,,1,,,,,,,,,,,,,,,,,,,,35:27.4,,,FALSE,,,,,Novice,,,,,,,,,,,,,,,,,9.22337E+18,,,Tue Mar 31 19:17:55 UTC 2020,,,,,,,,0|z0bhy0:,9.22337E+18,,,,,,,,,,,,,,,"28/Feb/20 10:35;zregvart;This needs changing in the {{docs/antora.yml}} files in each documentation module, for example for Camel Quarkus it's [here|https://github.com/apache/camel-quarkus/blob/c34d83e81524df1289ca659cc4a7955de04c78ce/docs/antora.yml#L19].","06/Mar/20 06:15;Shula_Aso;Hello [~zregvart], i'm an outreachy applicant. And i'ld love to contribute to this project during and after the outreachy contribution phase.  I want to know please if i can get assigned this issue for a start.       Also if there is another newComer friendly issue that you think would be a better place for me to start, i'ld appreciate if i can get assigned that one. if not, i think this is also good one.","06/Mar/20 09:40;zregvart;Hi all, just in case you haven't already received this information on how to contribute I'll enclose it in here first, I'll try to address your individual comments next.

We much appreciate your interest and willingness to contribute, I don't think it makes much sense for all of you to work on the same issue. There's also no need to have a competition on who gets to contribute first, we have plenty of other issues (outlined below) that you can help with. Since most of you are interested in participating in the Outreachy program, and help with the website, please have a look at some issues in that area via this search:

https://issues.apache.org/jira/issues/?jql=project%20%3D%20CAMEL%20AND%20status%20%3D%20Open%20AND%20component%20%3D%20website

And feel free to propose new ideas by creating new issues around the website.

For those wondering how to get started contributing to the website.

Make sure have a [GitHub account|https://github.com/join], read how you can [get started|https://help.github.com/en/github/getting-started-with-github], and [create a pull request|https://help.github.com/en/github/collaborating-with-issues-and-pull-requests].

Have a look at the [README.md|https://github.com/apache/camel-website/blob/master/README.md] in the website project on how to build and how to preview your changes on your own computer.

I'll try to address the questions in you comments here, for future conversations please do subscribe to the developer's mailing list and send emails there, discussions on the Jira issues can get a bit out of control and it's not that easy to follow the conversation here.

The following text includes information on how to reach us, and get started:

First of all, thank you for having an interest in contributing to Apache Camel.

Here are some guidelines on how to best approach the Apache Camel community and how to best apply yourself.

1. Communication

Apache Camel is an Apache Software Foundation project, all communication is done in the open on the project mailing lists.

You can read more on the reasoning behind this to get a better understanding of:

https://www.apache.org/foundation/mailinglists.html

All communication is subject to the ASF Code of Conduct, which you can read here:

https://www.apache.org/foundation/policies/conduct.html

For questions and guidance around contributing subscribe to the developer's mailing list by sending an e-mail to dev-subscribe@camel.apache.org.

We can also be reached on the Gitter chat at https://gitter.im/apache/apache-camel/.

We track issues using ASF Jira located at:

https://issues.apache.org/jira/browse/CAMEL

Where we maintain a list of issues that are easy to get started with, so you can familiarize yourself with the process and get your first contribution in:

https://issues.apache.org/jira/issues/?filter=12348073

And some areas that we are actively looking for help on:

https://issues.apache.org/jira/issues/?filter=12348074

When you're ready to contribute create a Pull request to one of the Camel projects you can find under the Apache organization on GitHub:

https://github.com/apache?q=camel

Expect that your Pull request will receive a review and that you will need to respond and correspond to that via comments at GitHub.

2. Getting started

Read the ""Contributing to Apache Camel"" document on the Camel website:

https://camel.apache.org/manual/latest/contributing.html

Identify areas you can contribute first. You don't have to be an expert in an area, the Apache Camel developers are available to offer help and guidance.

Introduce yourself on the developer's mailing list (see above), tell us what area of work or problem you wish to address in Camel. Create a draft of your solution, this can be simple 1-2 sentences on the change you wish to make. Try to be as specific as you can: include a short description of your intent, what you tried and what didn't work, or what you need help with. The best way of approaching the developers is by describing what you would like to work on and asking specific questions on how to get started. We'll do our best to guide you and help you make your contribution. 

We also participate in Google Summer of Code and Outreachy programs, for information about those look at those program websites. If you wish to participate in either of those follow the guidelines and schedule set by those programs. If you're unsure please reach out via official communication channels of those programs, or ask on the developer's mailing list for help.

3. Your first contribution

Make sure you followed the steps and guidelines outlined above. For bigger changes, make sure that you have discussed on the developer's mailing list or in the Jira issue tracker before hand. We love receiving contributions, to get the best response make sure that the reasoning behind the contribution you wish to make is clear: outline the problem and explain your solution for it.

Make sure you follow the guidelines outlined in the ""Contributing to Apache Camel"" document. Be respectful of the source checks, formatting and the structure of the git commit message we abide by. This will help you in getting your contribution accepted. Outline any changes you made but are unaware or unsure of any consequences or side effects.

Stay engaged, follow and respond to comments or questions you might be asked.

With that I wish you all the best and please do have fun while contributing to Apache Camel, we certainly do :)","11/Mar/20 12:19;Bob160;[~zregvart]may I take up this issue?

Thanks","11/Mar/20 12:47;zregvart;[~Bob160] feel free to, thanks!","16/Mar/20 19:28;RimshaCh;I was going through the description and from my understanding ,we have to reorganize the names in the navbar?","18/Mar/20 18:38;aashnajena;Hi! Does this issue still persist? I think some part of it has already been done. If I'm mistaken and there are more tasks to be done, can I please take this up? :)","18/Mar/20 19:31;RimshaCh;Hey [~aashnajena] ,I was going through the issue,I wanted work on the side bar of blog page.It's not consistent with other page's side bar.I think it's important to have consistency in design  for all pages in a website.
 We should  coordinate so that we don't duplicate any work.
","23/Mar/20 09:59;zregvart;From the description this looks like an issue in this menu:

 !Screenshot_2020-03-23 Apache Camel user manual - Apache Camel.png! 

That can be accessed bottom left. Those are component names in Antora terminology and they need to be changed, as described in the [comment above|https://issues.apache.org/jira/browse/CAMEL-14567?focusedCommentId=17047443&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-17047443].","23/Mar/20 10:05;jyotiattri;Hi [~zregvart], 

I want to work on this issue but shows error.

 For this, I need to change in [https://github.com/apache/camel-quarkus/blob/c34d83e81524df1289ca659cc4a7955de04c78ce/docs/antora.yml#L19]. So after changing the text, I was trying to build the repository to run the tests. For that, I need to install maven but when I am running this command in Powershell it shows error. Please help me, if I am wrong then tell me. I have asked this error in Gitter chat also but no reply there.",23/Mar/20 12:46;RimshaCh;[~zregvart] thankyou for the help.,"23/Mar/20 12:51;RimshaCh;[~jyotiattri] hi , I am already working on this ,just don't want that we duplicate work.I am rearranging the sidebar as listed in the comment and description above.","23/Mar/20 13:01;jyotiattri;[~RimshaCh], Ok","27/Mar/20 19:01;RimshaCh;[~zregvart] hi I made changes in the antora.yml of required documentations , however to test run the changes  do I require to run the documentation module? However that still would not preview me how the changes are appearing in the main website,could you guide me here ?",30/Mar/20 11:23;zregvart;[~RimshaCh] have a look at the [Antora documentation|https://docs.antora.org/antora/2.2/playbook/configure-content-sources/#current-branch],31/Mar/20 19:17;RimshaCh;Thankyou [~zregvart],,,,,,,,,,,,,,,,,,
camel-core - TypeConverter scanning for @Converter should be in its own JAR,CAMEL-14573,13285577,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2020/2/16 10:50,2020/2/16 10:50,2021/3/6 6:31,,,,,,,3.x,,camel-core,,,,,,,0,,,,,,"We can move the logic for Camel 2.x style @Converter annotation scanning to its own JAR and outside camel-core / camel-core-engine so you need to opt-in to enable this.

Today you need to set a flag on camel context to enable this. But instead we can have it as a JAR on classpath. Then the code is outside camel-core and we avoid a bit of complexity to support both the new fast style via source code generated loaders vs old style.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,50:11.0,,,,,,,,0|z0bjkg:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-core - Optimize type converter for core common,CAMEL-14574,13285614,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2020/2/16 12:45,2020/2/16 12:45,2021/3/6 6:31,,,,,,,3.x,,camel-core,,,,,,,0,,,,,,"An idea is to source code generate a single class with switch statements for from -> to, so we avoid adding them into the TC registry via DoubleMap which takes up heap memory and also the lookup requires to build a hash key.

If we source code generate a single class with a single method that does a switch on the from, and then another switch per to that it supports, and then invoke the coverter, then there is no map registration needed and we can save heap memory, and the coverter is faster also.

The JVM can much better optimize switch java code.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,45:35.0,,,,,,,,0|z0bjso:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-microprofile-opentracing,CAMEL-14583,13285841,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2020/2/17 19:28,2020/11/8 17:24,2021/3/6 6:30,,,,,,,3.x,,,,,,,,,0,gsoc2020,help-wanted,,,,"A camel module for this spec
https://github.com/eclipse/microprofile-opentracing

Its likely using the existing camel-opentracing and then implement the spec API and use smallrye implementation
https://github.com/smallrye/smallrye-opentracing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,20:55.8,,,FALSE,,,,,Moderate,,,,,,,,,,,,,,,,,9.22337E+18,,,Sun Nov 08 17:24:43 UTC 2020,,,,,,,,0|z0bl74:,9.22337E+18,,,,,,,,,,,,,,,"10/Mar/20 22:20;madhawak;Hi All, 

I'm interested to work on this for the GSOC 2020 I will share my proposal and design soon. 

Thanks,
Madhawa","08/Nov/20 17:24;Kishani Kandasamy;Hi, My name is Kishani Kandasamy ,currently  I'm pursuing  B.Sc Honours degree in Computer Science at the University of Jaffna , Sri Lanka.I'm particularly interested in this issue to  complete as my GSoC 2021 project.I would like to  request  guidance  regarding this issue.Thanks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto configure component/dataformat/languages when they are initialized,CAMEL-14600,13286506,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,lb,lb,2020/2/20 15:35,2021/1/21 14:43,2021/3/6 6:30,,,,,,,3.9.0,,camel-core,,,,,,,0,,,,,,"As today the auto configuration of components is delegated to the runtime so as example, spring-boot auto configure components with the help of some CamelXYZAutoConfiguration classes, whereas the camel-main scans properties for those that starts with camel.component and configure the related components.

I wonder if we can have a single point where component, dataformat, language & co auto-configuration take place regardless of the runtime camel runs on.

As example for components, the auto configuration could happen when they are initialized like:
- search for component-configurer (it is done already)
- use the component-configurer - if any - to initialize the component 

The component-configurer generator could also be enhanced not only to apply given properties but also to look them up from the camel context with a method like:

{code:java}
    public boolean configure(CamelContext camelContext, String componentName);
{code}
    
The advantage of such implementation would be that:
- component are consistent configured across runtimes (i.e. at the moment spring boot starters have an option to provide customizers to let use tune component configurations)
- with auto generated code we could reduce the need to create intermediate objects on camel-main



",,,,,,,,,,,,,,,,,,,,,,,,CAMEL-14672,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,34:51.2,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Tue Mar 17 09:28:00 UTC 2020,,,,,,,,0|z0bpaw:,9.22337E+18,,,,,,,,,,,,,,,"17/Mar/20 08:34;davsclaus;The spring boot XYZ auto configuration classes is needed to make it spring boot standard and also for sb tooling metadata.
So I think we should keep those.

",17/Mar/20 09:28;lb;Right wonder if we should keep the XyzConfiguration and change the XyzAutoConfiguration to create XyzConfigurer so the core camel behaviour would be consistent in any case (and maybe we can auto generate SpringBootXyzConfgurers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-core - RoutingSlip EIP leverage reactive executor for each slip,CAMEL-14603,13286685,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,davsclaus,davsclaus,davsclaus,2020/2/21 8:52,2020/10/7 4:58,2021/3/6 6:31,,,,,,,3.x,,camel-core,,,,,,,0,,,,,,"Lets see if we can rework the RoutingSlip to be more like Pipeline where each step is handed over to the reactive executor. 

It is essentially just a pipeline where the processors is computed dynamic before.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Advanced,,,,,,,,,,,,,,,,,9.22337E+18,,,Fri Feb 21 19:19:22 UTC 2020,,,,,,,,0|z0bqeg:,9.22337E+18,,,,,,,,,,,,,,,"21/Feb/20 19:19;davsclaus;camel-jms has a tx test that is hits a corner case
AsyncEndpointJmsTXRoutingSlipTest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create a camel-asyncapi component ,CAMEL-14610,13287008,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,jondruse,lb,lb,2020/2/22 19:58,2020/2/24 9:44,2021/3/6 6:31,,,,,,,3.x,,,,,,,,,0,,,,,,"We should create a an AsyncAPI (https://www.asyncapi.com/ ) component, similar to the OpenAPI one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,58:40.0,,,,,,,,0|z0bse8:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduce a SPI to automatic bind data format to transports,CAMEL-14619,13287964,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,lb,lb,lb,2020/2/27 8:34,2020/2/28 9:43,2021/3/6 6:31,,,,,,,3.x,,camel-core-api,,,,,,,0,gsoc2020,help-wanted,,,,"Some data formats such as the future CloudEvent one (https://issues.apache.org/jira/browse/CAMEL-13335) have specifications that describe how to bind them to specific transports (https://github.com/cloudevents/spec) so we should introduce a SPI to make this binding automatic so in a route like:


{code:java}
from(""undertow://http://0.0.0.0:8080"")
    .unmarshal().cloudEvents()
    .to(""kafka:my-topic"");
{code}

the exchange gets automatically translated to a Kafka message according to the CloudEvent binding specs for Kafka.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,43:52.4,,,FALSE,,,,,Moderate,,,,,,,,,,,,,,,,,9.22337E+18,,,Fri Feb 28 09:43:52 UTC 2020,,,,,,,,0|z0by2g:,9.22337E+18,,,,,,,,,,,,,,,"28/Feb/20 09:43;zregvart;[~lb] I've added labels to help find this issue for GSoC, if you're already working on this please remove them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support custom type converters for Enums,CAMEL-14631,13288438,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,claussni,claussni,2020/2/29 9:38,2020/3/2 11:33,2021/3/6 6:31,,,,,,,,,came-core,,,,,,,0,,,,,,"It should be possible to provide a custom TypeConverter for converting strings into an Enum instances.

The conversion of `String` to `Enum` is hard coded to fail with an Exception if `EnumTypeConverter` cannot instantiate an `Enum` constant by name. However, Java allows to override the string representation for enums. Converting such strings back to enums is only possible through a special converting function.

Currently `org.apache.camel.impl.converter.EnumTypeConverter` tries to find the Enum instance by name. If that fails it falls back  to calling the built-in valueOf(String) method which will end the program with a RuntimeException. The type conversion process stops there instead of further looking for custom type converters. The line with `return null;` in `EnumTypeConverter` is never reached. Would `EnumTypeConverter` indeed return null, the process would continue and a custom converter would finally be called.
 * https://mail-archives.apache.org/mod_mbox/camel-dev/202002.mbox/%3Cc87cef78-9709-5b92-efee-9bf0e2c2370d%40slub-dresden.de%3E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,38:48.0,,,,,,,,0|z0c0yg:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-sjms - Add grow and shrink consumer depending on demand,CAMEL-14637,13288500,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2020/3/1 10:14,2021/1/5 13:51,2021/3/6 6:30,,,,,,,3.x,,camel-sjms,,,,,,,0,,,,,,"It would be nice to have a way to say min-max range for concurrent consumers on camel-sjms like you can in spring-jms. And that this is based on automatic grow/shrink based on demand (eg if being idle then shrink, etc.)

This requires some effort to implement and its not trivial.",,,,,,,,,,,,,,,,,,,,,,,,CAMEL-15995,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,14:58.0,,,,,,,,0|z0c1c8:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-solr - Use testcontainers for testing,CAMEL-14652,13289483,,Test,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,davsclaus,davsclaus,2020/3/4 9:54,2020/3/9 11:53,2021/3/6 6:31,,,,,,,3.x,,,,,,,,,0,,,,,,"The current test framework is some brittle clunky code that cannot be upgraded to newer solr and jetty version.

Instead use testcontainers with the official solr images

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Mar/20 15:45;Simpcy;image-2020-03-08-16-45-42-788.png;https://issues.apache.org/jira/secure/attachment/12996074/image-2020-03-08-16-45-42-788.png,,,,,1,,,,,,,,,,,,,,,,,,,,33:24.1,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Mon Mar 09 11:53:30 UTC 2020,,,,,,,,0|z0c5c8:,9.22337E+18,,,,,,,,,,,,,,,"07/Mar/20 13:33;Simpcy;How about this, may I get this assigned to me?",07/Mar/20 13:38;acosentino;Sure. Go ahead.,"08/Mar/20 03:32;Simpcy;Alright, thanks. I am having a hard time locating the test modules in the camel-website repo","08/Mar/20 08:32;acosentino;The test for this are in the main camel repository. Camel-website is not related to this issue. Please, before working on anything have a look at the documentation and learn about the project structure. Anyway the website is completely unrelated. ","08/Mar/20 15:46;Simpcy;Okay. Please, I am quite new here. This is the specific outreachy project that spurred my interest. Please how may I know the issues specific to camel website? !image-2020-03-08-16-45-42-788.png!",09/Mar/20 11:53;zregvart;[~Simpcy] please review the documentation on the Outreachy website and [this blog post|https://camel.apache.org/blog/Outreachy-May2020/].,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use Java HTTP Client as foundation for the http component,CAMEL-14660,13289847,,Wish,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,lb,lb,2020/3/5 15:40,2020/3/5 16:04,2021/3/6 6:31,,,,,,,3.x,,camel-http,,,,,,,0,,,,,,"An HTTP Client is available starting from Java 11 (https://openjdk.java.net/groups/net/httpclient/intro.html) wonder if we should base the camel-http component on such client instead of rely on external libraries once we'll make Java 11 the minimum Java version.

Eventually we can create an camel-httpclient component bases on the current library used by camel-http (org.apache.httpcomponents/httpclient)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,55:00.2,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Thu Mar 05 16:04:49 UTC 2020,,,,,,,,0|z0c7l4:,9.22337E+18,,,,,,,,,,,,,,,"05/Mar/20 15:55;davsclaus;Yeah I think it should be a separate component camel-java-http or camel-jdk-http and then it can potentially at some time win the http scheme name, and then apache http client that is http today will have another name.",05/Mar/20 16:04;lb;+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-core - Optimize getEndpoint on camel context,CAMEL-14668,13290049,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,davsclaus,davsclaus,davsclaus,2020/3/6 12:15,2020/3/18 8:44,2021/3/6 6:31,,,,,,,3.x,,,,,,,,,0,,,,,,"We can optimize this a bit, and also remove the weird support for endpoints without context-paths.

And we can avoid some double encoding if the uri can be fast parsed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Wed Mar 18 08:44:44 UTC 2020,,,,,,,,0|z0c8u0:,9.22337E+18,,,,,,,,,,,,,,,06/Mar/20 13:58;davsclaus;We can also optimize the endpoint-dsl as well,06/Mar/20 14:08;davsclaus;TODO: Optimize double encoding in DefaultComponent if uri is fast parsed (its safe already),17/Mar/20 12:59;davsclaus;Working on optimizing this and avoid some encoding/decoded when getting endpoint -> creating endpoint via component,"18/Mar/20 08:44;davsclaus;Oh the deeper I got the harder it was, due to Camel endpoints has been parsed via java.net.Url which causes overhead and problems. 

So instead we may consider whether we should overhaul this before the 3.3 LTS release for Camel 3.x or take this up to rewrite for Camel 4 ;)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
